titre,prix,gouvernerat et date dajout,Kilométrage,Couleur du véhicule,Boite,Année,Cylindrée,Marque,Modèle,Puissance fiscale,Type de carrosserie,Carburant,Number of Pictures,Description
pompe essence fiat panda,120,"Sfax , 4 days ago",2,"
         pompe essence fiat panda
        ",,,,,,,,,,
hyundai i 20,44000,"Nabeul , a month ago",91000,Gris,Manuelle,2020,1.2L,Hyundai,I 20,5,Autres,Essence,6,"

          hyundai i20 neuf
44000 dt
tel:
          







             Afficher le numéro
            



"
GOLF 7 JOIN,1,"Sfax , 12 days ago",47000,Blanc,Manuelle,2019,<1.0L,Volkswagen,Golf 7,6,Berline,Essence,10,"

          •serie 240
•1.0L
•47000km
•boite 6
• Toit panoramique
• xenon
•led
•compteur digital
•dunaudio
•rabatable
Pour plus infos appelez
          







             Afficher le numéro
            



"
peugeot 308,29000,"Nabeul , a month ago",175000,Blanc,Manuelle,2011,1.6L,Peugeot,308,7,Essence,5,"
         véhicule on trés bonne état importé de bilgique
dexieme main
date de cerculation 26/05/2011
salon dorigine neuf
175000 km
7 ch essence
        ",
Fiat 500 BVA,41,"Tunis , 5 hours ago",100000,Bleu,Automatique,2019,1.2L,Fiat,500,04,Compacte,Essence,10,"
         Fiat 500
        "
kymco 125,2000,"Tunis , 22 days ago",0.,Noir,Automatique,2009,2,"
         jawha béni
ne9sa battrie
        ",,,,,,
Comodo golf 6,350,"Sousse , 18 days ago",000,Noir,Manuelle,2020,1.2L,Volkswagen,Golf,000,Pick up,Essence,6,"
         A vendre Comodo golf 6 Neuf jamais utilisé
        "
Fiat 500 importée,49000,"Sousse , 15 days ago",67000,Gris,Manuelle,2019,1.2L,Fiat,500,4,Compacte,Essence,8,"
         Voiture importée
Toutes options
Première main
Toit panoramique
Jantes
Écran GPS
Compteur digital
Radar de recule
...
Seulement pour les sérieux svp
        "
FIAT TIPO,1,"Jendouba , a day ago",300,Gris,Manuelle,1990,1.4L,Fiat,Tipo,7,Monospace,Essence,1,"
         MOTEUR RÉVISÉ .
        "
Mitsubishi DID 4×4 (7 places) a vendre,35000,"Ariana , 7 days ago",320000,Noir,Automatique,2001,3.0L,Mitsubishi,Pajero,10,4 x 4,Essence,8,"

          Mitsubishi DID (7 place) pour vente pour plus d'informations contactez :
          







             Afficher le numéro
            












             Afficher le numéro
            



"
MG HS 2.0 L,95000,"Sousse , 25 days ago",42000,Noir,Automatique,Autres,2020,2.0L,Autres,Essence,10,Monospace,6,"
         CARACTÉRISTIQUES :
• ANNÉE : 2020
• KILOMÉTRAGE : 42000
CARROSSERIE : SUV
• ENERGIE : ESSENCE
• PUISSANCE FISCALE : 10CV
• BOÎTE : AUTOMATIQUE
ÉQUIPEMENTS DE SÉCURITÉ :
• ABS
• AIRBAGS Frontaux | Latéraux | Rideaux
• ANTI-PATINAGE ESP
• ASSISTANCE AU FREINAGE EBD
• ANTI-DÉMARRAGE ÉLECTRONIQUE
• CONTRÔLE DE PRESSION DES PNEUS
• FIXATIONS ISOFIX
• SURVEILLANCE D’ANGLE MORT
ÉQUIPEMENTS EXTÉRIEURS :
• Radar de recul | Caméra de recul
• ANTIBROUILLARDS
• BARRES DE TOIT
• FEUX À LED : Feux de jour | Avant | Arrières
• JANTES : En aluminium | 18''
• PHARES : Xénon
• SPOILER ARRIÈRE
ÉQUIPEMENTS INTÉRIEURS :
• ACCOUDOIRS : Avant | Arrière
• AUTORADIO : 6 haut-parleurs | Commandes au volant
• USB | Apple Carplay | Android Auto | Bluetooth
• ECRAN : Tactile | 10 pouces
• SELLERIE : Cuir
• SIÈGES : Électriques | Chauffants | Réglage lombaire
• TOIT Ouvrant | Panoramique
• VOLANT : Cuir | Multi-fonctions
• APPUIS TÊTES ARRIÈRES 3
ÉQUIPEMENTS FONCTIONNELS :
• ALLUMAGE AUTOMATIQUE DES FEUX
• BOUTON START & STOP
• CLIMATISATION : Automatique | Bizone
• DÉTECTEUR DE PLUIE
• DIRECTION ASSISTÉE : Électrique
• FERMETURE CENTRALISÉE
• FREIN DE STATIONNEMENT ÉLÉCTRIQUE
• ORDINATEUR DE BORD
• RÉGULATEUR DE VITESSE
• RÉTROVISEURS EXTÉRIEURS Électriques | Rabattables
• SIÈGES AVANT RÉGLABLES EN HAUTEUR
• VOLANT RÉGLABLE : En hauteur et en profondeur
• VITRES ÉLECTRIQUES : Avant/Arrière
        "
Ford Mondeo 2010,0,"Ariana , 20 days ago",200.000,Noir,Manuelle,2010,1.8L,Ford,Mondeo,8,Compacte,Essence,8,"

          modèle 2010
8 CV
200.000 km
très bon état
Num :
          







             Afficher le numéro
            



"
Mazda 2 Sedan,0,"Ariana , 9 days ago",62000,Gris,Manuelle,2015,1.5L,Mazda,2,6,Berline,Essence,9,"

          Mazda 2 sedan
11 / 11 /2015 TU 185
1.5 essence
6 CV 107CH boite 6
1 ère main
62 000Km(avec carnet d'entretien maison Mazda)
Tt option :
*écran tactile
*caméra de recul
*Vitres électriques
*Vitre chauffeur automatique
*Climatisation automatique
*Détecteur de pluie
*Détecteur de lumière
*Retroviseurs rabattables
Tel:
          







             Afficher le numéro
            



"
poêle,123,"Ben Arous , 22 days ago",2,Marron,Automatique,2017,4,"
         ae
        ",,,,,,
Clio,15300,"Tunis , a month ago",208,Blanc,Manuelle,2000,1.2L,Renault,Clio,4,Berline,Essence,10,"
         Clio bombe mechya 208 avec un moteur en excellente état très propre jamais accidenté
        "
ovetto 2014,4300,"Bizerte , a month ago",1111111,Noir,Automatique,2014,5,"
         ndhifa kol chay yemch feha
        ",,,,,,
polo 6,20500,"Nabeul , 17 days ago",200,Noir,Manuelle,2007,<1.0L,Volkswagen,Polo,4,Compacte,Essence,3,"

          polo 6 neuf jante alu poste tactile 4 roues neuf batrie neuf assisté cnt
          







             Afficher le numéro
            



"
Peugeot 207,24000,"Ben Arous , 5 days ago",156000,Bleu,Manuelle,2007,1.4L,Peugeot,207,6,Essence,Berline,7,"
         A vendre voiture 207 année 2007 importe de la France:
- Kilométrage presque 159 000 km
- 6 chevaux - essence
- Climatiseur en très bon état
- Jamais accidentée
- Deux portes
- Moteur d'origine en très bon état
- Type de constructeur WAKFUC
- Couleur bleu
- Fermeture centralisée
- Vignette et visite technique
        "
clio campus 2006,25000,"Tunis , a month ago",178000,Noir,Manuelle,2006,<1.0L,Renault,Clio,4,Compacte,Essence,5,"
         je met à vendre clio campus toutes options
        "
A Vendre fiat sienna,22272017,"Ben Arous , a month ago",11000,Noir,Manuelle,2006,1.2L,Fiat,Siena,5,Berline,Essence,6,"

          A Vendre fiat sienna 2 trés puissante
⛔️ Année : 2006
⛔️ 2 ėme main
⛔️ Puissance fiscale : 5 CV Essence
⛔️ Boîte : Manuelle
⛔️ Kilométrage : moteur fire neuf 11000 km
⛔️ chaîne et batterie et kit embrayage neuf
⛔️ Matricule :TU 122
Options:
➡️ climatiseur en marche
➡️ 2 vitres électriques
➡️ Fermeture Centrale
➡️ système alarme
➡️ Volant assisté
➡️ 4 pneu neuf
TEL:
          







             Afficher le numéro
            



         Dispo : Ben arous
        "
Partner,0,"Médenine , 6 days ago",000,Peugeot,Gris,Manuelle,2003,6,1.4L,Essence,Partner,Autres,5,"
         5places
        "
للبيع سيارة,95,"Jendouba , a month ago",100,Marron,Manuelle,2020,1.9L,Kia,Sportage,0,Autres,Diesel,10,"

          جندوبة للبيع 🌹بسم الله ماشاء الله🌹
للبيع كيا سبورتاج أروبية بجميع الكامليات ماشية 100 الف من الملاك مباشرة 🤎🤎🤎💯💯
#لمزيد الاستفسار والاتصال للجادين هاتف
          







             Afficher le numéro
            




          أو
          







             Afficher le numéro
            



         مرحبا
        "
Toyota Corolla BVA 2021,79000,"Tunis , a month ago",22900,Bleu,Automatique,2021,1.2L,Toyota,Corolla,6,Essence,Compacte,8,"
         Je Vends ma voiture Toyota Corolla BVA Dynamic toute option achetée en octobre 2021 encore sous garantie . Kilométrage 22930KM
Pour ceux ou celles qui sont intéressés Merci de me contacter...
        "
🚘Jeep Wrangler sport(4x4)🚘,0,"Ariana , 2 days ago",82015,Noir,Manuelle,2010,2.8L,Jeep,Wrangler,11,4 x 4,Diesel,10,"

          🚘Jeep Wrangler sport(4x4)🚘
✅1er main
✅tout options
✅année 06 /2010
✅km 82 015
✅tu 219
✅2.8
✅11 cv
✅GAzoil
⚡️On accepte l'échange des voitures⚡️
☎️
          







             Afficher le numéro
            




          /
          







             Afficher le numéro
            



         showroom🚗 MHIRI AUTO🚗
مرحبا بيكم😍😍
📍Résidence Feres lotissement al Yamama Jardin Del Menzah2
        "
kamyoun Mercedes 5 places 1980,1999,"Nabeul , 22 days ago",1111,Blanc,Manuelle,1980,3.0L,Mercedes-Benz,Vito,3.0,Autres,Diesel,6,"
         Mercedes 5 places année 1980 10 chevaux
        "
Polo Sidan,36000,"Sousse , 8 hours ago",100000,Gris,Manuelle,2020,1.4L,Volkswagen,Polo,5,Berline,Essence,6,"

          mon voiture à vendre Polo Sidan année 2020,nthifa barcha,boite manuelle ,moteur 1.4 ,05chv,machya 100000km,climatisation wkol chay d'origine
mon num :
          







             Afficher le numéro
            



"
piese megane 2,0,"Tunis , a month ago",10,"
         piese megane2
        ",,,,,,,,,,
audi a4 toutes options,125000,"Sousse , a month ago",106,Blanc,Automatique,2019,1.5L,Audi,A4,8,Berline,Essence,3,"
         audi A4 toutes options premiere main
        "
Audi Q3,2,"Sfax , 8 hours ago",60000,Noir,Automatique,2020,1.4L,Audi,Q3,8,Compacte,Essence,10,"

          A vendre 🔴 Audi Q3 🔴 chez auto rêve ramzi
🔄 𝙋𝙤𝙨𝙨𝙞𝙗𝙞𝙡𝙞𝙩é 𝙙'é𝙘𝙝𝙖𝙣𝙜𝙚 🔄
☎️
          







             Afficher le numéro
            




          /
          







             Afficher le numéro
            



         ☎️
➡️ 𝙇𝙚𝙨 𝘾𝙖𝙧𝙖𝙘𝙩𝙚́𝙧𝙞𝙨𝙩𝙞𝙦𝙪𝙚 :
☑️ Immatriculation : 𝐓𝐮 216
☑️Puissance fiscale: 9 cv
☑️Energie: essence ⛽
☑️ Kilométrage: 60.000km
☑️ Année : 07/2020
➡️ 𝑳𝒆𝒔 𝑶𝒑𝒕𝒊𝒐𝒏𝒔 :
☑️ Boite automatique
☑️ 𝘛𝘰𝘪𝘵 𝘖𝘶𝘷𝘳𝘢𝘯𝘵
☑️ 𝘊𝘢𝘮𝘦𝘳𝘢 𝘥𝘦 𝘳𝘦𝘤𝘶𝘭
☑️ 4 vitre électrique
☑️Jent allu
☑️ Vitre teintée
☑️ Multi-fonctions
☑️ Climatronic
☑️ 𝘐𝘯𝘵é𝘳𝘪𝘦𝘶𝘳 cuir
☑️ Feu LED AV/AR
☑️ 𝘙é𝘵𝘳𝘰𝘷𝘪𝘴𝘦𝘶𝘳𝘴 é𝘭𝘦𝘤𝘵𝘳𝘪𝘲𝘶𝘦s rabattable
☑️ 𝘚𝘺𝘴𝘵è𝘮𝘦 𝘚𝘵𝘢𝘳𝘵/Stop..
☑️ Système de navigation
☑️ Bluetooth
💯 𝗙𝗨𝗟𝗟 𝗢𝗣𝗧𝗜𝗢𝗡𝗦 💯
➡️ Adresse: Route kaied mohamed km 3 sfax avant ceinture.
📍https://maps.app.goo.gl/oNHMoK4aBn5SjMW17?g_st=ic
        "
Chrysler c 300 rustilet,0,"Ariana , 7 hours ago",38000,Gris,Automatique,2011,>4.0L,Chrysler,300C,12,Autres,Essence,10,"

          ◢ Chrysler c 300 rustilet ◣
☞ Modele : 2011
☞ TT Option
☞ Jante /19
☞ Puissance fiscale : 12 CV
☞ Energie : Essence
☞ Boite Auto
☞ Kilométrage: 38.000
☞ Volant multifonction
☞ capteur AV/AR
☞ vitre teinté
☞ GPS
☞ pack chrome interieur/exterieur
☞ interieur bois
☞ interieur cuir
☞ chaise mémorisé droite/gauche
☞ feu avant/arrière cristal
☞ Audio: Boston/ Premium Audio
☞ Bi-Xenon
☞ TU 216
☞ Etat neuf
:visible à Auto 9 la soukra
☎ :
          







             Afficher le numéro
            




          /
          







             Afficher le numéro
            



"
607 HDI vente ou échange,18,"Ben Arous , a month ago",300,Bleu,Manuelle,2001,2.2L,Peugeot,607,8,Berline,Diesel,5,"

          peugeot 607 toute options
Vente ou échange si possible avec une voiture 9 places
Tel:
          







             Afficher le numéro
            



"
