Price,Manufacturer,Model,Horse Power,Mileage,Transmission,Fuel,Posting Month,Posting Year,Age,country_of_origin,price_per_km,price_per_horsepower
75000.0,INFINITI,EX35,20.0,143000.0,Automatic,Essence,November,2023,15,Japan,0.5244755244755245,3750.0
69000.0,IVECO,DAILY,11.0,87000.0,Manual,Diesel,November,2023,8,Italy,0.7931034482758621,6272.727272727273
62000.0,VOLVO,XC60,13.0,190000.0,Automatic,Essence,November,2023,13,Sweden,0.3263157894736842,4769.2307692307695
69000.0,AC,SEVEN,7.0,59000.0,Automatic,Essence,November,2023,4,United Kingdom,1.1694915254237288,9857.142857142857
29000.0,LANCIA,YPSILON,4.0,125000.0,Manual,Essence,November,2023,10,Italy,0.232,7250.0
42000.0,AC,SEVEN,7.0,2396.0,Manual,Essence,November,2023,1,United Kingdom,17.529215358931552,6000.0
61999.0,GEELY,GK-GS,5.0,25000.0,Automatic,Essence,November,2023,2,China,2.47996,12399.8
12000.0,AC,SEVEN,7.0,14000.0,Manual,Essence,November,2023,2,United Kingdom,0.8571428571428571,1714.2857142857142
37000.0,GEELY,GK-GL,6.0,71000.0,Manual,Essence,November,2023,4,China,0.5211267605633803,6166.666666666667
29500.0,ALFA ROMEO,MITO,5.0,213000.0,Manual,Diesel,November,2023,14,Italy,0.13849765258215962,5900.0
31000.0,GEELY,GK-GL,5.0,85000.0,Manual,Essence,November,2023,5,China,0.36470588235294116,6200.0
53800.0,GEELY,GK-GL,6.0,30000.0,Automatic,Essence,November,2023,2,China,1.7933333333333332,8966.666666666666
26000.0,ALFA ROMEO,MITO,5.0,274000.0,Manual,Essence,November,2023,13,Italy,0.0948905109489051,5200.0
30000.0,INFINITI,FX35,20.0,320000.0,Automatic,Essence,November,2023,16,Japan,0.09375,1500.0
15000.0,ALFA ROMEO,145,7.0,179000.0,Manual,Essence,November,2023,26,Italy,0.08379888268156424,2142.8571428571427
28000.0,ALFA ROMEO,159,9.0,190000.0,Manual,Diesel,November,2023,15,Italy,0.14736842105263157,3111.1111111111113
32500.0,ALFA ROMEO,MITO,7.0,223000.0,Manual,Essence,November,2023,15,Italy,0.14573991031390135,4642.857142857143
28000.0,LANCIA,YPSILON,4.0,125000.0,Manual,Essence,November,2023,9,Italy,0.224,7000.0
53000.0,GEELY,MK-GL,6.0,30000.0,Manual,Essence,December,2023,2,China,1.7666666666666666,8833.333333333334
46000.0,DS,DS3,6.0,120000.0,Automatic,Essence,December,2023,5,France,0.38333333333333336,7666.666666666667
30000.0,ALFA ROMEO,MITO,6.0,170000.0,Manual,Essence,November,2023,11,Italy,0.17647058823529413,5000.0
38500.0,DS,DS3,5.0,107000.0,Manual,Essence,November,2023,7,France,0.3598130841121495,7700.0
23000.0,VOLVO,S40,6.0,243298.0,Manual,Essence,December,2023,15,Sweden,0.09453427483990826,3833.3333333333335
52000.0,INFINITI,FX,20.0,190000.0,Automatic,Essence,September,2023,16,Japan,0.2736842105263158,2600.0
38000.0,VOLVO,C30,6.0,154000.0,Manual,Essence,October,2023,13,Sweden,0.24675324675324675,6333.333333333333
11000.0,ALFA ROMEO,156,6.0,256000.0,Manual,Diesel,October,2023,22,Italy,0.04296875,1833.3333333333333
