Price,Manufacturer,Model,Horse Power,Mileage,Transmission,Fuel,Posting Month,Posting Year,Age,country_of_origin
75000.0,INFINITI,EX35,20.0,143000.0,Automatic,Gasoline,November,2023,15,Japan
69000.0,IVECO,DAILY,11.0,87000.0,Manual,Diesel,November,2023,8,Italy
62000.0,VOLVO,XC60,13.0,190000.0,Automatic,Gasoline,November,2023,13,Sweden
69000.0,AC,SEVEN,7.0,59000.0,Automatic,Gasoline,November,2023,4,United Kingdom
29000.0,LANCIA,YPSILON,4.0,125000.0,Manual,Gasoline,November,2023,10,Italy
42000.0,AC,SEVEN,7.0,2396.0,Manual,Gasoline,November,2023,1,United Kingdom
61999.0,GEELY,GK-GS,5.0,25000.0,Automatic,Gasoline,November,2023,2,China
12000.0,AC,SEVEN,7.0,14000.0,Manual,Gasoline,November,2023,2,United Kingdom
37000.0,GEELY,GK-GL,6.0,71000.0,Manual,Gasoline,November,2023,4,China
29500.0,ALFA ROMEO,MITO,5.0,213000.0,Manual,Diesel,November,2023,14,Italy
31000.0,GEELY,GK-GL,5.0,85000.0,Manual,Gasoline,November,2023,5,China
53800.0,GEELY,GK-GL,6.0,30000.0,Automatic,Gasoline,November,2023,2,China
26000.0,ALFA ROMEO,MITO,5.0,274000.0,Manual,Gasoline,November,2023,13,Italy
30000.0,INFINITI,FX35,20.0,320000.0,Automatic,Gasoline,November,2023,16,Japan
15000.0,ALFA ROMEO,145,7.0,179000.0,Manual,Gasoline,November,2023,26,Italy
28000.0,ALFA ROMEO,159,9.0,190000.0,Manual,Diesel,November,2023,15,Italy
32500.0,ALFA ROMEO,MITO,7.0,223000.0,Manual,Gasoline,November,2023,15,Italy
28000.0,LANCIA,YPSILON,4.0,125000.0,Manual,Gasoline,November,2023,9,Italy
53000.0,GEELY,MK-GL,6.0,30000.0,Manual,Gasoline,December,2023,2,China
46000.0,DS,DS3,6.0,120000.0,Automatic,Gasoline,December,2023,5,France
30000.0,ALFA ROMEO,MITO,6.0,170000.0,Manual,Gasoline,November,2023,11,Italy
38500.0,DS,DS3,5.0,107000.0,Manual,Gasoline,November,2023,7,France
23000.0,VOLVO,S40,6.0,243298.0,Manual,Gasoline,December,2023,15,Sweden
52000.0,INFINITI,FX,20.0,190000.0,Automatic,Gasoline,September,2023,16,Japan
38000.0,VOLVO,C30,6.0,154000.0,Manual,Gasoline,October,2023,13,Sweden
52000.0,INFINITI,FX,20.0,190000.0,Automatic,Gasoline,September,2023,16,Japan
11000.0,ALFA ROMEO,156,6.0,256000.0,Manual,Diesel,October,2023,22,Italy
47500.0,GEELY,GK-GL,6.0,49000.0,Manual,Gasoline,September,2023,2,China
41000.0,IVECO,DAILY COMBI,4.0,263000.0,Manual,Diesel,September,2023,7,Italy
17500.0,ALFA ROMEO,147,7.0,170000.0,Manual,Gasoline,August,2023,22,Italy
26000.0,ALFA ROMEO,MITO,5.0,179500.0,Manual,Gasoline,July,2023,12,Italy
34000.0,ALFA ROMEO,GIULIETTA,7.0,183000.0,Manual,Gasoline,March,2023,12,Italy
47000.0,DS,DS5,9.0,230000.0,Automatic,Gasoline,March,2023,11,France
57000.0,IVECO,DAILY COMBI,8.0,250000.0,Manual,Diesel,March,2023,8,Italy
28000.0,GEELY,GK-GL,6.0,88000.0,Manual,Gasoline,April,2023,5,China
70000.0,IVECO,DAILY COMBI,10.0,80000.0,Manual,Diesel,May,2023,4,Italy
34000.0,DS,DS3,5.0,75000.0,Manual,Gasoline,March,2023,10,France
35000.0,IVECO,DAILY COMBI,8.0,320000.0,Manual,Diesel,March,2023,18,Italy
24000.0,ALFA ROMEO,MITO,5.0,240000.0,Manual,Gasoline,April,2023,12,Italy
70000.0,IVECO,DAILY COMBI,8.0,75000.0,Manual,Diesel,February,2023,6,Italy
33000.0,ALFA ROMEO,MITO,6.0,186000.0,Manual,Gasoline,November,2022,14,Italy
35000.0,GEELY,GC6,6.0,49000.0,Manual,Gasoline,February,2024,4,China
44000.0,DONGFENG,S50,6.0,91000.0,Manual,Gasoline,February,2024,5,China
75000.0,ALFA ROMEO,GIULIETTA,7.0,30000.0,Manual,Gasoline,February,2024,5,Italy
28500.0,ALFA ROMEO,MITO,5.0,213000.0,Manual,Diesel,February,2024,14,Italy
67660.0,DONGFENG,S50,7.0,65000.0,Automatic,Gasoline,February,2024,3,China
210000.0,DS,7 CROSSBACK PERFORMANCE LINE,10.0,1000.0,Automatic,Hybrid,February,2024,1,France
64000.0,DONGFENG,AX4,7.0,31000.0,Manual,Gasoline,February,2024,3,China
182920.0,DONGFENG,T5 EVO,9.0,4000.0,Automatic,Gasoline,February,2024,1,China
46000.0,DS,3 PERFORMANCE LINE,6.0,120000.0,Automatic,Gasoline,February,2024,4,France
32000.0,GEELY,GC6,6.0,56000.0,Manual,Gasoline,February,2024,3,China
65000.0,DONGFENG,SX3,8.0,32000.0,Manual,Gasoline,February,2024,3,China
88000.0,BYD,SONG,9.0,25000.0,Automatic,Gasoline,February,2024,2,China
55000.0,ALFA ROMEO,MITO,5.0,42000.0,Manual,Gasoline,February,2024,5,Italy
64000.0,FOTON,FORLAND,10.0,35000.0,Manual,Diesel,February,2024,8,China
80000.0,DFSK,GLORY 580,8.0,59000.0,Manual,Gasoline,February,2024,2,China
52000.0,INFINITI,FX,20.0,190000.0,Automatic,Gasoline,February,2024,16,Japan
64500.0,DONGFENG,SX3,8.0,81000.0,Manual,Gasoline,February,2024,3,China
46000.0,VOLVO,S60 R DESIGN,9.0,170000.0,Automatic,Gasoline,February,2024,12,Sweden
18900.0,DFSK,K01,6.0,69000.0,Manual,Gasoline,February,2024,6,China
38000.0,WALLYSCAR,IRIS,4.0,39000.0,Manual,Gasoline,February,2024,6,Tunisia
27500.0,ALFA ROMEO,MITO,6.0,165000.0,Manual,Gasoline,February,2024,12,Italy
52000.0,ALFA ROMEO,GIULIETTA,7.0,100000.0,Manual,Gasoline,February,2024,6,Italy
65000.0,DONGFENG,SX3,7.0,30000.0,Manual,Gasoline,February,2024,3,China
60000.0,VOLVO,V40,10.0,97000.0,Automatic,Gasoline,January,2024,9,Sweden
54000.0,DONGFENG,S50 JOYEER,6.0,100000.0,Manual,Gasoline,January,2024,4,China
39000.0,GEELY,GC6,6.0,130000.0,Manual,Gasoline,February,2024,4,China
38900.0,DS,3 CHROMATIQUE,5.0,68400.0,Manual,Gasoline,February,2024,7,France
33900.0,DS,3,5.0,91000.0,Manual,Gasoline,January,2024,6,France
49000.0,ALFA ROMEO,GIULIETTA QUADRIFOGLIO,9.0,145000.0,Manual,Gasoline,February,2024,12,Italy
150000.0,ALFA ROMEO,STELVIO SPORT,17.0,73000.0,Automatic,Gasoline,February,2024,5,Italy
43000.0,ALFA ROMEO,GIULIETTA,9.0,182000.0,Automatic,Gasoline,January,2024,9,Italy
38000.0,LADA,NIVA,7.0,99000.0,Manual,Gasoline,March,2023,5,Russia
39000.0,LADA,NIVA CLASSIC,7.0,25600.0,Manual,Gasoline,January,2024,6,Russia
31000.0,TATA,XENON X2,7.0,64000.0,Manual,Diesel,February,2024,7,India
34500.0,TATA,XENON X2,7.0,70800.0,Manual,Diesel,February,2024,4,India
36000.0,BAIC,YX KENBO S2,7.0,93000.0,Manual,Gasoline,February,2024,6,China
42800.0,BAIC,YX KENBO S2,7.0,51000.0,Manual,Gasoline,February,2024,6,China
38000.0,BAIC,YX KENBO S2,7.0,130000.0,Manual,Gasoline,February,2024,6,China
97000.0,GREAT WALL,POER,11.0,9000.0,Manual,Diesel,February,2024,2,China
49000.0,GREAT WALL,M4,6.0,36000.0,Manual,Gasoline,February,2024,3,China
110000.0,GREAT WALL,POER,11.0,9000.0,Automatic,Diesel,February,2024,2,China
41200.0,GREAT WALL,M4,6.0,94000.0,Manual,Gasoline,February,2024,5,China
38700.0,GREAT WALL,M4,6.0,88750.0,Manual,Gasoline,February,2024,7,China
77000.0,HAVAL,H6,9.0,120000.0,Automatic,Gasoline,February,2024,4,China
117000.0,HAVAL,H6 LUXURY,8.0,17000.0,Automatic,Gasoline,February,2024,2,China
85000.0,HAVAL,H6,9.0,55000.0,Automatic,Gasoline,February,2024,5,China
87000.0,HAVAL,JOLION,9.0,40000.0,Automatic,Gasoline,February,2024,2,China
82000.0,HAVAL,H6,9.0,62000.0,Automatic,Gasoline,February,2024,4,China
80000.0,HAVAL,H6,9.0,90000.0,Automatic,Gasoline,February,2024,5,China
